Frequency (Hz),RT60 (s)
50,0.7100000000000001
63,0.7309583333333333
80,0.7013541666666667
100,0.6785
125,0.6679791666666667
250,0.6863333333333332
500,0.6569999999999999
1000,0.6770833333333334
2000,0.6997916666666667
4000,0.7084375
8000,0.7076875
12000,0.7190624999999999
16000,0.7274791666666667
