Frequency (Hz),RT60 (s)
50,0.6543749999999999
63,0.6691874999999999
80,0.6326875
100,0.6263958333333334
125,0.6143750000000001
250,0.5576249999999999
500,0.5349791666666667
1000,0.4790416666666667
2000,0.4638749999999999
4000,0.48650000000000004
8000,0.46847916666666667
12000,0.5130625
16000,0.5787500000000001
