Frequency (Hz),RT60 (s)
50,0.48354166666666665
63,0.5024375
80,0.5226458333333333
100,0.5296041666666667
125,0.53525
250,0.5165625
500,0.520875
1000,0.4912083333333333
2000,0.48337500000000005
4000,0.5051666666666667
8000,0.4780208333333333
12000,0.47114583333333326
16000,0.4897708333333334
