Frequency (Hz),RT60 (s)
50,0.8723333333333333
63,0.8815833333333333
80,0.8818958333333334
100,0.8681041666666667
125,0.848
250,0.7749375
500,0.6300625
1000,0.67425
2000,0.6920208333333333
4000,0.6996041666666666
8000,0.7564583333333333
12000,0.811
16000,0.8311458333333335
